  Reference
  time     displacement 

  0.00000  0.00000
  0.14493  0.69742
  0.28986  1.27129
  0.43478  1.63633
  0.57971  1.74138
  0.72464  1.57642
  0.86957  1.17315
  1.01449  0.59913
  1.15942  -0.05343
  1.30435  -0.68243
  1.44928  -1.19177
  1.59420  -1.50604
  1.73913  -1.58152
  1.88406  -1.41225
  2.02899  -1.02999
  2.17391  -0.49848
  2.31884  0.09710
  2.46377  0.66375
  2.60870  1.11509
  2.75362  1.38449
  2.89855  1.43484
  3.04348  1.26357
  3.18841  0.90219
  3.33333  0.41071
  3.47826  -0.13231
  3.62319  -0.64222
  3.76812  -1.04146
  3.91304  -1.27130
  4.05797  -1.30042
  4.20290  -1.12905
  4.34783  -0.78826
  4.49275  -0.33438
  4.63768  0.16019
  4.78261  0.61851
  4.92754  0.97102
  5.07246  1.16605
  5.21739  1.17734
  5.36232  1.00749
  5.50725  0.68685
  5.65217  0.26822
  5.79710  -0.18176
  5.94203  -0.59322
  6.08696  -0.90387
  6.23188  -1.06833
  6.37681  -1.06479
  6.52174  -0.89775
  6.66667  -0.59671
  6.81159  -0.21107
  6.95652  0.19791
  7.10145  0.56687
  7.24638  0.84005
  7.39130  0.97774
  7.53623  0.96197
  7.68116  0.79879
  7.82609  0.51671
  7.97101  0.16190
  8.11594  -0.20945
  8.26087  -0.53987
  8.40580  -0.77958
  8.55072  -0.89387
  8.69565  -0.86814
  8.84058  -0.70964
  8.98551  -0.44585
  9.13043  -0.11976
  9.27536  0.21705
  9.42029  0.51259
  9.56522  0.72242
  9.71014  0.81633
  9.85507  0.78260
  10.00000  0.62944
