  Simulation
  time     displacement 

  0.00000  0.00000
  0.10101  0.43260
  0.20202  0.77145
  0.30303  0.95086
  0.40404  0.93801
  0.50505  0.73890
  0.60606  0.39646
  0.70707  -0.01867
  0.80808  -0.42266
  0.90909  -0.73539
  1.01010  -0.89630
  1.11111  -0.87615
  1.21212  -0.68216
  1.31313  -0.35602
  1.41414  0.03505
  1.51515  0.41216
  1.61616  0.70057
  1.71717  0.84453
  1.81818  0.81801
  1.91919  0.62934
  2.02020  0.31892
  2.12121  -0.04934
  2.22222  -0.40120
  2.32323  -0.66700
  2.42424  -0.79542
  2.52525  -0.76341
  2.62626  -0.58020
  2.72727  -0.28491
  2.82828  0.06173
  2.92929  0.38989
  3.03030  0.63466
  3.13131  0.74887
  3.23232  0.71215
  3.33333  0.53450
  3.43434  0.25377
  3.53535  -0.07239
  3.63636  -0.37831
  3.73737  -0.60355
  3.83838  -0.70475
  3.93939  -0.66403
  4.04040  -0.49203
  4.14141  -0.22528
  4.24242  0.08148
  4.34343  0.36655
  4.44444  0.57364
  4.54545  0.66297
  4.64646  0.61890
  4.74747  0.45257
  4.84848  0.19924
  4.94949  -0.08916
  5.05051  -0.35467
  5.15152  -0.54492
  5.25253  -0.62342
  5.35354  -0.57657
  5.45455  -0.41593
  5.55556  -0.17548
  5.65657  0.09556
  5.75758  0.34274
  5.85859  0.51736
  5.95960  0.58599
  6.06061  0.53689
  6.16162  0.38193
  6.26263  0.15381
  6.36364  -0.10080
  6.46465  -0.33082
  6.56566  -0.49094
  6.66667  -0.55059
  6.76768  -0.49971
  6.86869  -0.35039
  6.96970  -0.13408
  7.07071  0.10501
  7.17172  0.31894
  7.27273  0.46563
  7.37374  0.51712
  7.47475  0.46488
  7.57576  0.32115
  7.67677  0.11615
  7.77778  -0.10828
  7.87879  -0.30716
  7.97980  -0.44141
  8.08081  -0.48550
  8.18182  -0.43228
  8.28283  -0.29406
  8.38384  -0.09986
  8.48485  0.11072
  8.58586  0.29551
  8.68687  0.41825
  8.78788  0.45563
  8.88889  0.40176
  8.98990  0.26898
  9.09091  0.08510
  9.19192  -0.11240
  9.29293  -0.28403
  9.39394  -0.39611
  9.49495  -0.42743
  9.59596  -0.37321
  9.69697  -0.24577
  9.79798  -0.07174
  9.89899  0.11343
  10.00000  0.27273
